id,func_name,input_text,target_text
0,format_option_strings,"Summarize Python: def format_option_strings(self, option):",Return a comma-separated list of option strings & metavariables.
1,destroy,Summarize Python: def destroy(self):,see OptionParser.destroy().
2,add_option,"Summarize Python: def add_option(self, *args, **kwargs):","add_option(Option) add_option(opt_str, ..., kwarg=val, ...)."
3,destroy,Summarize Python: def destroy(self):,Declare that you are done with this OptionParser.
4,enable_interspersed_args,Summarize Python: def enable_interspersed_args(self):,"Set parsing to not stop on the first non-option, allowing interspersing switches with command arguments."
5,disable_interspersed_args,Summarize Python: def disable_interspersed_args(self):,Set parsing to stop on the first non-option. Use this if you have a command processor which runs another command that has options of its own and you want to make sure these options don't get confused.
6,parse_args,"Summarize Python: def parse_args(self, args=None, values=None):","parse_args(args : [string] = sys.argv[1:],            values : Values = None) -> (values : Values, args : [string])."
7,check_values,"Summarize Python: def check_values(self, values, args):","check_values(values : Values, args : [string]) -> (values : Values, args : [string])."
8,error,"Summarize Python: def error(self, msg):",error(msg : string).
9,print_usage,"Summarize Python: def print_usage(self, file=None):",print_usage(file : file = stdout).
10,print_version,"Summarize Python: def print_version(self, file=None):",print_version(file : file = stdout).
11,print_help,"Summarize Python: def print_help(self, file=None):",print_help(file : file = stdout).
12,open,"Summarize Python: def open(filename, mode='rb', *, format=None, check=-1, preset=None, filters=None, encoding=None, errors=None, newline=None):",Open an LZMA-compressed file in binary or text mode.
13,compress,"Summarize Python: def compress(data, format=FORMAT_XZ, check=-1, preset=None, filters=None):",Compress a block of data.
14,decompress,"Summarize Python: def decompress(data, format=FORMAT_AUTO, memlimit=None, filters=None):",Decompress a block of data.
15,close,Summarize Python: def close(self):,Flush and close the file.
16,closed,Summarize Python: @property:,True if this file is closed.
17,fileno,Summarize Python: def fileno(self):,Return the file descriptor for the underlying file.
18,seekable,Summarize Python: def seekable(self):,Return whether the file supports seeking.
19,readable,Summarize Python: def readable(self):,Return whether the file was opened for reading.
20,writable,Summarize Python: def writable(self):,Return whether the file was opened for writing.
21,peek,"Summarize Python: def peek(self, size=-1):",Return buffered data without advancing the file position.
22,read,"Summarize Python: def read(self, size=-1):",Read up to size uncompressed bytes from the file.
23,read1,"Summarize Python: def read1(self, size=-1):","Read up to size uncompressed bytes, while trying to avoid making multiple reads from the underlying stream. Reads up to a buffer's worth of data if size is negative."
24,readline,"Summarize Python: def readline(self, size=-1):",Read a line of uncompressed bytes from the file.
25,write,"Summarize Python: def write(self, data):",Write a bytes object to the file.
26,seek,"Summarize Python: def seek(self, offset, whence=io.SEEK_SET):",Change the file position.
27,tell,Summarize Python: def tell(self):,Return the current file position.
28,interact,"Summarize Python: def interact(banner=None, readfunc=None, local=None, exitmsg=None):",Closely emulate the interactive Python interpreter.
29,runsource,"Summarize Python: def runsource(self, source, filename='<input>', symbol='single'):",Compile and run some source in the interpreter.
30,runcode,"Summarize Python: def runcode(self, code):",Execute a code object.
